,text,contains_image,contains_table,extracted_text,class
433,"<<START_SECTION>>h Reported frequency from AstraZeneca-sponsored clinical studies outside of the pooled dataset is rare, with no events at  Grade > 2.<<END_SECTION>>",0,0,"h Reported frequency from AstraZeneca-sponsored clinical studies outside of the pooled dataset is rare, with no events at  Grade > 2.",2.0
434,"<<START_SECTION>>i includes abdominal pain, abdominal pain lower, abdominal pain upper and flank pain. j 	includes colitis, enteritis, enterocolitis, and proctitis.<<END_SECTION>>",0,0,"i includes abdominal pain, abdominal pain lower, abdominal pain upper and flank pain. j 	includes colitis, enteritis, enterocolitis, and proctitis.",2.0
435,"<<START_SECTION>>k includes alanine aminotransferase increased, aspartate aminotransferase increased, hepatic enzyme increased and transaminases increased.<<END_SECTION>>",0,0,"k includes alanine aminotransferase increased, aspartate aminotransferase increased, hepatic enzyme increased and transaminases increased.",2.0
436,"<<START_SECTION>>l includes hepatitis, autoimmune hepatitis, hepatitis toxic, hepatocellular injury, hepatitis acute, hepatotoxicity and immunemediated hepatitis.<<END_SECTION>>",0,0,"l includes hepatitis, autoimmune hepatitis, hepatitis toxic, hepatocellular injury, hepatitis acute, hepatotoxicity and immunemediated hepatitis.",2.0
437,"<<START_SECTION>>m includes rash erythematous, rash generalised, rash macular, rash maculopapular, rash papular, rash pruritic, rash pustular, erythema, eczema and rash.<<END_SECTION>>",0,0,"m includes rash erythematous, rash generalised, rash macular, rash maculopapular, rash papular, rash pruritic, rash pustular, erythema, eczema and rash.",2.0
438,"<<START_SECTION>>n includes pruritus generalised and pruritus. o 	includes pemphigoid, dermatitis bullous and pemphigus. Reported frequency from completed and ongoing trials is uncommon.<<END_SECTION>>",0,0,"n includes pruritus generalised and pruritus. o 	includes pemphigoid, dermatitis bullous and pemphigus. Reported frequency from completed and ongoing trials is uncommon.",2.0
439,"<<START_SECTION>>p Polymyositis (fatal) was observed in a patient treated with IMFINZI from an ongoing sponsored clinical study outside of the pooled dataset: rare in any grade, rare in Grade 3 or 4 or 5.<<END_SECTION>>",0,0,"p Polymyositis (fatal) was observed in a patient treated with IMFINZI from an ongoing sponsored clinical study outside of the pooled dataset: rare in any grade, rare in Grade 3 or 4 or 5.",2.0
440,"<<START_SECTION>>q includes autoimmune nephritis, tubulointerstitial nephritis, nephritis, glomerulonephritis and glomerulonephritis membranous. r 	includes oedema peripheral and peripheral swelling. s 	includes infusion related reaction and urticaria with onset on the day of dosing or 1 day after dosing.<<END_SECTION>>",0,0,"q includes autoimmune nephritis, tubulointerstitial nephritis, nephritis, glomerulonephritis and glomerulonephritis membranous. r 	includes oedema peripheral and peripheral swelling. s 	includes infusion related reaction and urticaria with onset on the day of dosing or 1 day after dosing.",2.0
441,"<<START_SECTION>>The data described below reflect exposure to IMFINZI as a single agent, in patients with locally advanced, unresectable NSCLC in the PACIFIC study (see 5.1 Pharmacodynamic properties ? Clinical trials) and in patients with ES-SCLC enrolled in the CASPIAN study. <<END_SECTION>>",0,0,"The data described below reflect exposure to IMFINZI as a single agent, in patients with locally advanced, unresectable NSCLC in the PACIFIC study (see 5.1 Pharmacodynamic properties ? Clinical trials) and in patients with ES-SCLC enrolled in the CASPIAN study. ",2.0
442,<<START_SUBHEADING>>Tabulated list of adverse events<<END_SUBHEADING>>,0,0,Tabulated list of adverse events,1.0
443,"<<START_SECTION>>Adverse events are listed according to MedDRA system organ class. Within each system organ class, the adverse events are presented in decreasing frequency.  <<END_SECTION>>",0,0,"Adverse events are listed according to MedDRA system organ class. Within each system organ class, the adverse events are presented in decreasing frequency.  ",2.0
444,<<START_SUBHEADING>>Locally advanced NSCLC ? PACIFIC study<<END_SUBHEADING>>,0,0,Locally advanced NSCLC ? PACIFIC study,1.0
445,"<<START_SECTION>>The safety of IMFINZI in patients with locally advanced NSCLC who completed concurrent platinum-based chemoradiotherapy within 42 days prior to initiation of study drug was evaluated in the PACIFIC study, a multicentre, randomised, double-blind, placebo-controlled study. A total of 475 patients received IMFINZI 10 mg/kg intravenously every 2 weeks. The study excluded patients who had disease progression following chemoradiation, with active or prior autoimmune disease within 2 years of initiation of the study or with medical conditions that required systemic immunosuppression (see 5.1 Pharmacodynamic properties ? Clinical trials).<<END_SECTION>>",0,0,"The safety of IMFINZI in patients with locally advanced NSCLC who completed concurrent platinum-based chemoradiotherapy within 42 days prior to initiation of study drug was evaluated in the PACIFIC study, a multicentre, randomised, double-blind, placebo-controlled study. A total of 475 patients received IMFINZI 10 mg/kg intravenously every 2 weeks. The study excluded patients who had disease progression following chemoradiation, with active or prior autoimmune disease within 2 years of initiation of the study or with medical conditions that required systemic immunosuppression (see 5.1 Pharmacodynamic properties ? Clinical trials).",2.0
446,"<<START_SECTION>>The study population characteristics were: median age of 64 years (range: 23 to 90), 45% age 65 years or older, 70% male, 69% White, 27% Asian, 75% former smoker, 16% current smoker, and 51% had WHO performance status of 1. All patients received definitive radiotherapy as per protocol, of which 92% received a total radiation dose of 54 Gy to 66 Gy. The median duration of exposure to IMFINZI was 10 months (range: 0.2 to 12.6).<<END_SECTION>>",0,0,"The study population characteristics were: median age of 64 years (range: 23 to 90), 45% age 65 years or older, 70% male, 69% White, 27% Asian, 75% former smoker, 16% current smoker, and 51% had WHO performance status of 1. All patients received definitive radiotherapy as per protocol, of which 92% received a total radiation dose of 54 Gy to 66 Gy. The median duration of exposure to IMFINZI was 10 months (range: 0.2 to 12.6).",2.0
447,"<<START_SECTION>>IMFINZI was discontinued due to adverse events in 15% of patients. The most common adverse events leading to IMFINZI discontinuation were pneumonitis or radiation pneumonitis in 6% of patients. Serious adverse events occurred in 29% of patients receiving IMFINZI. The most frequent serious adverse events reported in at least 2% of patients were pneumonitis or radiation pneumonitis (7%) and pneumonia (6%). Fatal pneumonitis or radiation pneumonitis and fatal pneumonia occurred in < 2% of patients and were similar across arms. The most common adverse events (occurring in ò 20% of patients) were cough, fatigue, pneumonitis or radiation pneumonitis, upper respiratory tract infections, dyspnoea and rash.<<END_SECTION>>",0,0,"IMFINZI was discontinued due to adverse events in 15% of patients. The most common adverse events leading to IMFINZI discontinuation were pneumonitis or radiation pneumonitis in 6% of patients. Serious adverse events occurred in 29% of patients receiving IMFINZI. The most frequent serious adverse events reported in at least 2% of patients were pneumonitis or radiation pneumonitis (7%) and pneumonia (6%). Fatal pneumonitis or radiation pneumonitis and fatal pneumonia occurred in < 2% of patients and were similar across arms. The most common adverse events (occurring in ò 20% of patients) were cough, fatigue, pneumonitis or radiation pneumonitis, upper respiratory tract infections, dyspnoea and rash.",2.0
448,<<START_SECTION>>Table 4 summarises the adverse events that occurred in at least 10% of patients treated with IMFINZI.<<END_SECTION>>,0,1,Table 4 summarises the adverse events that occurred in at least 10% of patients treated with IMFINZI.,2.0
449,<<START_SECTION>>Table 4 	Treatment-emergent adverse events occurring in at least 10% of patients in the PACIFIC Study<<END_SECTION>>,0,1,Table 4 	Treatment-emergent adverse events occurring in at least 10% of patients in the PACIFIC Study,2.0
450,<<START_SECTION>>IMFINZI  N=475<<END_SECTION>>,0,0,IMFINZI  N=475,2.0
451,<<START_SECTION>>Placeboa N=234<<END_SECTION>>,0,0,Placeboa N=234,2.0
452,<<START_SECTION>>Adverse reaction<<END_SECTION>>,0,0,Adverse reaction,2.0
453,<<START_SECTION>>All grades (%)<<END_SECTION>>,0,0,All grades (%),2.0
454,<<START_SECTION>>Grades 3-4 (%)<<END_SECTION>>,0,0,Grades 3-4 (%),2.0
455,<<START_SECTION>>All grades (%)<<END_SECTION>>,0,0,All grades (%),2.0
456,<<START_SECTION>>Grades 3-4 (%)<<END_SECTION>>,0,0,Grades 3-4 (%),2.0
457,"<<START_SECTION>>Respiratory, thoracic and mediastinal disorders<<END_SECTION>>",0,0,"Respiratory, thoracic and mediastinal disorders",2.0
458,<<START_SECTION>>Cough/productive cough<<END_SECTION>>,0,0,Cough/productive cough,2.0
459,<<START_SECTION>>40<<END_SECTION>>,0,0,40,2.0
460,<<START_SECTION>>0.6<<END_SECTION>>,0,0,0.6,2.0
461,<<START_SECTION>>30<<END_SECTION>>,0,0,30,2.0
462,<<START_SECTION>>0.4<<END_SECTION>>,0,0,0.4,2.0
463,<<START_SECTION>>Pneumonitisb/radiation pneumonitis<<END_SECTION>>,0,0,Pneumonitisb/radiation pneumonitis,2.0
464,<<START_SECTION>>34<<END_SECTION>>,0,0,34,2.0
465,<<START_SECTION>>3.4<<END_SECTION>>,0,0,3.4,2.0
466,<<START_SECTION>>25<<END_SECTION>>,0,0,25,2.0
467,<<START_SECTION>>3.0<<END_SECTION>>,0,0,3.0,2.0
468,<<START_SECTION>>Dyspnoeac<<END_SECTION>>,0,0,Dyspnoeac,2.0
469,<<START_SECTION>>25<<END_SECTION>>,0,0,25,2.0
470,<<START_SECTION>>1.5<<END_SECTION>>,0,0,1.5,2.0
471,<<START_SECTION>>25<<END_SECTION>>,0,0,25,2.0
472,<<START_SECTION>>2.6<<END_SECTION>>,0,0,2.6,2.0
473,<<START_SECTION>>Gastrointestinal disorders<<END_SECTION>>,0,0,Gastrointestinal disorders,2.0
474,<<START_SECTION>>Diarrhoea<<END_SECTION>>,0,0,Diarrhoea,2.0
475,<<START_SECTION>>18<<END_SECTION>>,0,0,18,2.0
476,<<START_SECTION>>0.6<<END_SECTION>>,0,0,0.6,2.0
477,<<START_SECTION>>19<<END_SECTION>>,0,0,19,2.0
478,<<START_SECTION>>1.3<<END_SECTION>>,0,0,1.3,2.0
479,<<START_SECTION>>Abdominal paind<<END_SECTION>>,0,0,Abdominal paind,2.0
480,<<START_SECTION>>10<<END_SECTION>>,0,0,10,2.0
481,<<START_SECTION>>0.4<<END_SECTION>>,0,0,0.4,2.0
482,<<START_SECTION>>6<<END_SECTION>>,0,0,6,2.0
483,<<START_SECTION>>0.4<<END_SECTION>>,0,0,0.4,2.0
484,<<START_SECTION>>Endocrine disorders<<END_SECTION>>,0,0,Endocrine disorders,2.0
485,<<START_SECTION>>Hypothyroidisme<<END_SECTION>>,0,0,Hypothyroidisme,2.0
486,<<START_SECTION>>12<<END_SECTION>>,0,0,12,2.0
487,<<START_SECTION>>0.2<<END_SECTION>>,0,0,0.2,2.0
488,<<START_SECTION>>1.7<<END_SECTION>>,0,0,1.7,2.0
489,<<START_SECTION>>0<<END_SECTION>>,0,0,0,2.0
490,<<START_SECTION>>Skin and subcutaneous tissue disorders<<END_SECTION>>,0,0,Skin and subcutaneous tissue disorders,2.0
491,<<START_SECTION>>Rashf<<END_SECTION>>,0,0,Rashf,2.0
492,<<START_SECTION>>23<<END_SECTION>>,0,0,23,2.0
493,<<START_SECTION>>0.6<<END_SECTION>>,0,0,0.6,2.0
494,<<START_SECTION>>12<<END_SECTION>>,0,0,12,2.0
495,<<START_SECTION>>0<<END_SECTION>>,0,0,0,2.0
496,<<START_SECTION>>Pruritusg<<END_SECTION>>,0,0,Pruritusg,2.0
497,<<START_SECTION>>12<<END_SECTION>>,0,0,12,2.0
498,<<START_SECTION>>0<<END_SECTION>>,0,0,0,2.0
499,<<START_SECTION>>6<<END_SECTION>>,0,0,6,2.0
500,<<START_SECTION>>0<<END_SECTION>>,0,0,0,2.0
501,<<START_SECTION>>General disorders and administration site conditions<<END_SECTION>>,0,0,General disorders and administration site conditions,2.0
502,<<START_SECTION>>Fatigueh<<END_SECTION>>,0,0,Fatigueh,2.0
503,<<START_SECTION>>34<<END_SECTION>>,0,0,34,2.0
504,<<START_SECTION>>0.8<<END_SECTION>>,0,0,0.8,2.0
505,<<START_SECTION>>32<<END_SECTION>>,0,0,32,2.0
506,<<START_SECTION>>1.3<<END_SECTION>>,0,0,1.3,2.0
507,<<START_SECTION>>Pyrexia<<END_SECTION>>,0,0,Pyrexia,2.0
508,<<START_SECTION>>15<<END_SECTION>>,0,0,15,2.0
509,<<START_SECTION>>0.2<<END_SECTION>>,0,0,0.2,2.0
510,<<START_SECTION>>9<<END_SECTION>>,0,0,9,2.0
511,<<START_SECTION>>0<<END_SECTION>>,0,0,0,2.0
512,<<START_SECTION>>Infections<<END_SECTION>>,0,0,Infections,2.0
513,<<START_SECTION>>Upper respiratory tract infectionsi<<END_SECTION>>,0,0,Upper respiratory tract infectionsi,2.0
514,<<START_SECTION>>26<<END_SECTION>>,0,0,26,2.0
515,<<START_SECTION>>0.4<<END_SECTION>>,0,0,0.4,2.0
516,<<START_SECTION>>19<<END_SECTION>>,0,0,19,2.0
517,<<START_SECTION>>0<<END_SECTION>>,0,0,0,2.0
518,<<START_SECTION>>Pneumoniaj<<END_SECTION>>,0,0,Pneumoniaj,2.0
519,<<START_SECTION>>17<<END_SECTION>>,0,0,17,2.0
520,<<START_SECTION>>7<<END_SECTION>>,0,0,7,2.0
521,<<START_SECTION>>12<<END_SECTION>>,0,0,12,2.0
522,<<START_SECTION>>6<<END_SECTION>>,0,0,6,2.0
523,"<<START_SECTION>>a The PACIFIC study was not designed to demonstrate statistically significant difference in adverse event rates for IMFINZI, as compared to placebo, for any specific adverse event listed in Table 4<<END_SECTION>>",0,1,"a The PACIFIC study was not designed to demonstrate statistically significant difference in adverse event rates for IMFINZI, as compared to placebo, for any specific adverse event listed in Table 4",2.0
524,"<<START_SECTION>>b includes acute interstitial pneumonitis, interstitial lung disease, pneumonitis, pulmonary fibrosis c 	includes dyspnoea and exertional dyspnoea<<END_SECTION>>",0,0,"b includes acute interstitial pneumonitis, interstitial lung disease, pneumonitis, pulmonary fibrosis c 	includes dyspnoea and exertional dyspnoea",2.0
525,"<<START_SECTION>>d includes abdominal pain, abdominal pain lower, abdominal pain upper, and flank pain<<END_SECTION>>",0,0,"d includes abdominal pain, abdominal pain lower, abdominal pain upper, and flank pain",2.0
526,<<START_SECTION>>e includes autoimmune hypothyroidism and hypothyroidism<<END_SECTION>>,0,0,e includes autoimmune hypothyroidism and hypothyroidism,2.0
527,"<<START_SECTION>>f includes rash erythematous, rash generalized, rash macular, rash maculopapular, rash papular, rash pruritic, rash pustular, erythema, eczema, rash and dermatitis<<END_SECTION>>",0,0,"f includes rash erythematous, rash generalized, rash macular, rash maculopapular, rash papular, rash pruritic, rash pustular, erythema, eczema, rash and dermatitis",2.0
528,"<<START_SECTION>>g includes pruritus generalized and pruritus h 	includes asthenia and fatigue i 	includes laryngitis, nasopharyngitis, peritonsillar abscess, pharyngitis, rhinitis, sinusitis, tonsillitis, tracheobronchitis, and upper respiratory tract infection<<END_SECTION>>",0,0,"g includes pruritus generalized and pruritus h 	includes asthenia and fatigue i 	includes laryngitis, nasopharyngitis, peritonsillar abscess, pharyngitis, rhinitis, sinusitis, tonsillitis, tracheobronchitis, and upper respiratory tract infection",2.0
529,"<<START_SECTION>>j 	includes lung infection, pneumocystis jirovecii pneumonia, pneumonia, pneumonia adenoviral, pneumonia bacterial, pneumonia cytomegaloviral, pneumonia haemophilus, pneumonia klebsiella, pneumonia necrotising, pneumonia pneumococcal, and pneumonia streptococcal<<END_SECTION>>",0,0,"j 	includes lung infection, pneumocystis jirovecii pneumonia, pneumonia, pneumonia adenoviral, pneumonia bacterial, pneumonia cytomegaloviral, pneumonia haemophilus, pneumonia klebsiella, pneumonia necrotising, pneumonia pneumococcal, and pneumonia streptococcal",2.0
530,"<<START_SECTION>>Other adverse events occurring in less than 10% of patients treated with IMFINZI were dysphonia, dysuria, night sweats, peripheral oedema, and increased susceptibility to infections. <<END_SECTION>>",0,0,"Other adverse events occurring in less than 10% of patients treated with IMFINZI were dysphonia, dysuria, night sweats, peripheral oedema, and increased susceptibility to infections. ",2.0
531,<<START_SUBHEADING>>Small Cell Lung Cancer (ES-SCLC) ? CASPIAN Study<<END_SUBHEADING>>,0,0,Small Cell Lung Cancer (ES-SCLC) ? CASPIAN Study,1.0
532,"<<START_SECTION>>The safety of IMFINZI in combination with etoposide and either carboplatin or cisplatin in previously untreated ES-SCLC was evaluated in CASPIAN, a randomized, open-label, multicentre, active-controlled trial. A total of 265 patients received IMFINZI 1500 mg in combination with chemotherapy every 3 weeks for 4 cycles followed by IMFINZI 1500 mg every 4 weeks until disease progression or unacceptable toxicity. The trial excluded patients with active or prior autoimmune disease or with medical conditions that required systemic corticosteroids or immunosuppressants [see 5.1 Pharmacodynamic properties ? Clinical trials).<<END_SECTION>>",0,0,"The safety of IMFINZI in combination with etoposide and either carboplatin or cisplatin in previously untreated ES-SCLC was evaluated in CASPIAN, a randomized, open-label, multicentre, active-controlled trial. A total of 265 patients received IMFINZI 1500 mg in combination with chemotherapy every 3 weeks for 4 cycles followed by IMFINZI 1500 mg every 4 weeks until disease progression or unacceptable toxicity. The trial excluded patients with active or prior autoimmune disease or with medical conditions that required systemic corticosteroids or immunosuppressants [see 5.1 Pharmacodynamic properties ? Clinical trials).",2.0
533,"<<START_SECTION>>Among 266 patients receiving chemotherapy alone, 57% of the patients received 6 cycles of chemotherapy and 8% of the patients received PCI after chemotherapy.<<END_SECTION>>",0,0,"Among 266 patients receiving chemotherapy alone, 57% of the patients received 6 cycles of chemotherapy and 8% of the patients received PCI after chemotherapy.",2.0
534,"<<START_SECTION>>IMFINZI was discontinued due to adverse reactions in 7% of the patients receiving IMFINZI plus chemotherapy. These include pneumonitis, hepatotoxicity, neurotoxicity, sepsis, diabetic ketoacidosis and pancytopenia (1 patient each). Serious adverse reactions occurred in 31% of patients receiving IMFINZI plus chemotherapy. The most frequent serious adverse reactions reported in at least 1% of patients were febrile neutropenia (4.5%), pneumonia (2.3%), anaemia (1.9%), pancytopenia (1.5%), pneumonitis (1.1%)  and COPD (1.1%). Fatal adverse reactions occurred in 4.9% of patients receiving IMFINZI plus chemotherapy. These include pancytopenia, sepsis, septic shock, pulmonary artery thrombosis, pulmonary embolism, and hepatitis (1 patient each) and sudden death (2 patients). The most common adverse reactions (occurring in ò 20% of patients) were nausea, fatigue/asthenia and alopecia.<<END_SECTION>>",0,0,"IMFINZI was discontinued due to adverse reactions in 7% of the patients receiving IMFINZI plus chemotherapy. These include pneumonitis, hepatotoxicity, neurotoxicity, sepsis, diabetic ketoacidosis and pancytopenia (1 patient each). Serious adverse reactions occurred in 31% of patients receiving IMFINZI plus chemotherapy. The most frequent serious adverse reactions reported in at least 1% of patients were febrile neutropenia (4.5%), pneumonia (2.3%), anaemia (1.9%), pancytopenia (1.5%), pneumonitis (1.1%)  and COPD (1.1%). Fatal adverse reactions occurred in 4.9% of patients receiving IMFINZI plus chemotherapy. These include pancytopenia, sepsis, septic shock, pulmonary artery thrombosis, pulmonary embolism, and hepatitis (1 patient each) and sudden death (2 patients). The most common adverse reactions (occurring in ò 20% of patients) were nausea, fatigue/asthenia and alopecia.",2.0
